Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Urusei Yatsura,3.27 Excellent,"Pierrot Co., Ltd., Studio DEEN Co., Ltd.",Manga,Comedy,~26min,TV-Series,195,1981
Mobile Suit Gundam,3.26 Excellent,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,43,1979
SSSS.Dynazenon,3.28 Excellent,TRIGGER Inc.,Original Work,Action,~24min,TV-Series,12,2021
Shura no Toki: Age of Chaos,3.26 Excellent,"Studio Comet Co., Ltd.",Manga,Action Drama,~23min,TV-Series,26,2004
Yu-Gi-Oh! Arc-V,3.26 Excellent,"GALLOP Co., Ltd.",Original Work,Ganbatte,~24min,TV-Series,148,2014
Mr. Osomatsu 3rd Season,3.43 Excellent,"Pierrot Co., Ltd.",Manga,Comedy,~24min,TV-Series,25,2020
School Days,3.24 Excellent,"TNK Co., Ltd.",Visual Novel,Sentimental Drama,~25min,TV-Series,12,2007
To the Abandoned Sacred Beasts,3.25 Excellent,"MAPPA Co., Ltd.",Manga,Action Drama,~24min,TV-Series,12,2019
Endro!,3.28 Excellent,Studio Gokumi,Original Work,Comedy,~24min,TV-Series,12,2019
You’re under Arrest: Full Throttle,3.28 Excellent,"Studio DEEN Co., Ltd.",Manga,Comedy,~25min,TV-Series,23,2007
Let’s Make a Mug Too,3.27 Excellent,"Nippon Animation Co., Ltd.",Manga,Comedy,~15min,TV-Series,12,2021
Under Ninja,3.27 Excellent,"Tezuka Productions Co., Ltd.",Manga,?,~24min,TV-Series,12,2023
Dream Eater Merry,3.24 Excellent,"J.C.STAFF Co., Ltd.",Manga,Action,~24min,TV-Series,13,2011
Lupin the 3rd: Part 1,3.26 Excellent,"TMS Entertainment Co., Ltd.",Manga,Action,~25min,TV-Series,23,1971
Dear Brother,3.25 Excellent,"Tezuka Productions Co., Ltd.",Manga,Sentimental Drama,~26min,TV-Series,39,1991
Hotel Inhumans,3.33 Excellent,Bridge Inc.,Manga,Action Drama,~24min,TV-Series,12,2025
Fox Spirit Matchmaker,3.22 Mediocre,Haoliners Animation League,Manhua,?,~25min,TV-Series,24,2017
Kamichu!,3.20 Mediocre,Brain’s Base,Original Work,Slice of Life Drama,~25min,TV-Series,12,2005
Sasameki Koto,3.20 Mediocre,"Anime International Co., Inc.",Manga,Romantic Comedy,~25min,TV-Series,13,2009
PriPara,3.31 Excellent,"DongWoo A&E Co., Ltd., Tatsunoko Production Co., Ltd.",Other,Ganbatte,~24min,TV-Series,140,2014
Aishite Knight,3.20 Mediocre,"Toei Animation Co., Ltd.",Manga,Romance,~20min,TV-Series,42,1983
Arakawa under the Bridge,3.19 Mediocre,SHAFT Inc.,Manga,Comedy,~24min,TV-Series,13,2010
The Kingdoms of Ruin,3.19 Mediocre,Yokohama Animation Lab,Manga,Action Drama,~24min,TV-Series,12,2023
Myself; Yourself,3.19 Mediocre,Doga Kobo,Visual Novel,Sentimental Drama,~25min,TV-Series,13,2007
Magic Knight Rayearth 2,3.24 Excellent,"TMS Entertainment Co., Ltd.",Manga,Adventure,~23min,TV-Series,29,1995
Dragon Crisis!,3.19 Mediocre,"Studio DEEN Co., Ltd.",Light Novel,Romantic Comedy,~24min,TV-Series,12,2011
Saiyuki,3.21 Mediocre,"Pierrot Co., Ltd.",Manga,Adventure,~25min,TV-Series,50,2000
Devil May Cry,3.19 Mediocre,MADHOUSE Inc.,Video Game,Action,~25min,TV-Series,12,2007
Mix,3.30 Excellent,"OLM, Inc.",Manga,Ganbatte,~24min,TV-Series,24,2019
Suite Precure,3.24 Excellent,"Toei Animation Co., Ltd.",Original Work,Action,~25min,TV-Series,48,2011
Needless,3.19 Mediocre,MADHOUSE Inc.,Manga,Action Comedy,~25min,TV-Series,24,2009
Milky Subway: The Galactic Limited Express,3.69 Excellent,"Shin-ei Animation Co., Ltd.",Original Work,Comedy,~4min,TV-Series,12,2025
Taisho Baseball Girls,3.21 Mediocre,"J.C.STAFF Co., Ltd.",Light Novel,Ganbatte,~24min,TV-Series,12,2009
Beyblade: Metal Fury,3.21 Mediocre,"SynergySP Co. ,Ltd.",Manga,Ganbatte,~18min,TV-Series,52,2011
Whistle!,3.22 Mediocre,"Studio Comet Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,39,2002
Starship Operators,3.19 Mediocre,"J.C.STAFF Co., Ltd.",Light Novel,Drama,~24min,TV-Series,13,2005
My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,3.19 Mediocre,REVOROOT Inc.,Light Novel,Adventure,~24min,TV-Series,12,2022
Show by Rock!!#,3.25 Excellent,BONES Inc.,Video Game,Ganbatte,~24min,TV-Series,12,2016
Yamishibai: Japanese Ghost Stories,3.19 Mediocre,"ILCA, Inc.",Original Work,Ghost Stories,~4min,TV-Series,13,2013
Beyblade: Metal Masters,3.21 Mediocre,"SynergySP Co. ,Ltd., Tatsunoko Production Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,51,2010
Mahoromatic: Something More Beautiful,3.19 Mediocre,"Gainax Co., Ltd., SHAFT Inc.",Manga,Indefinite,~24min,TV-Series,14,2002
Black Jack 21,3.27 Excellent,"Tezuka Productions Co., Ltd.",Manga,Thriller,~24min,TV-Series,17,2006
My Wife is the Student Council President+!,3.18 Mediocre,Animation Studio Seven,Manga,Romantic Comedy,~8min,TV-Series,12,2016
Gatchaman Crowds,3.19 Mediocre,"Tatsunoko Production Co., Ltd.",Original Work,Action,~23min,TV-Series,12,2013
Cute High Earth Defense Club Love! Love!,3.23 Excellent,"Studio Comet Co., Ltd.",Original Work,Comedy,~24min,TV-Series,12,2016
Inazuma Eleven,3.19 Mediocre,"OLM, Inc.",Video Game,Ganbatte,~25min,TV-Series,127,2008
Angelic Layer,3.18 Mediocre,BONES Inc.,Manga,Ganbatte,~24min,TV-Series,26,2001
Cat’s Eye,3.18 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Action,~24min,TV-Series,73,1983
Back Street Girls: Gokudols,3.18 Mediocre,"J.C.STAFF Co., Ltd.",Manga,Comedy,~24min,TV-Series,10,2018
Metallic Rouge,3.19 Mediocre,BONES Inc.,Original Work,Action Drama,~23min,TV-Series,13,2024
My Master Has No Tail,3.23 Excellent,LIDEN FILMS Inc.,Manga,Adventure,~24min,TV-Series,13,2022
Poyopoyo,3.22 Mediocre,"Studio DEEN Co., Ltd.",Manga,Comedy,~3min,TV-Series,52,2012
The Tower of Druaga: The Aegis of Uruk,3.18 Mediocre,Gonzo K.K.,Video Game,Adventure,~25min,TV-Series,12,2008
Wangan Midnight,3.21 Mediocre,"ACGT Co., Ltd.",Manga,Action Drama,~25min,TV-Series,26,2007
Yawara! A Fashionable Judo Girl,3.26 Excellent,MADHOUSE Inc.,Manga,Ganbatte,~25min,TV-Series,124,1989
Potemayo,3.21 Mediocre,"J.C.STAFF Co., Ltd.",Manga,Comedy,~24min,TV-Series,12,2007
Gun × Sword,3.18 Mediocre,"Anime International Co., Inc.",Original Work,Action,~25min,TV-Series,26,2005
I-Chu,3.31 Excellent,Lay-duce Inc.,Video Game,?,~24min,TV-Series,12,2021
Chain Chronicle: The Light of Haecceitas (TV),3.18 Mediocre,"Graphinica, Inc., Telecom Animation Film Co., Ltd.",Video Game,Action,~24min,TV-Series,12,2017
Tenchi Universe,3.19 Mediocre,"Anime International Co., Inc.",Manga,Action Comedy,~24min,TV-Series,26,1995
A Bridge to the Starry Skies,3.17 Mediocre,Doga Kobo,Visual Novel,Romantic Comedy,~24min,TV-Series,12,2011
Freezing Vibration,3.18 Mediocre,"ACGT Co., Ltd.",Manga,Action Drama,~24min,TV-Series,12,2013
Nyarko-san: Another Crawling Chaos,3.17 Mediocre,"XEBEC, Inc.",Light Novel,Comedy,~24min,TV-Series,12,2012
Sailor Moon S,3.17 Mediocre,"Toei Animation Co., Ltd.",Manga,Adventure,~25min,TV-Series,38,1994
FLCL Progressive,3.20 Mediocre,"Production I.G., Inc.",Original Work,Nonsense-Comedy,~23min,TV-Series,6,2018
Case File nº221: Kabukicho,3.20 Mediocre,"Production I.G., Inc.",Original Work,Crime Fiction,~24min,TV-Series,24,2019
Okami-san & Her Seven Companions,3.17 Mediocre,"J.C.STAFF Co., Ltd.",Light Novel,Romantic Comedy,~24min,TV-Series,12,2010
Ginga: Nagareboshi Gin,3.29 Excellent,"Toei Animation Co., Ltd.",Manga,Adventure,~25min,TV-Series,21,1986
Beyblade Burst Turbo,3.27 Excellent,"OLM, Inc.",Manga,Ganbatte,~24min,TV-Series,51,2018
BanG Dream!,3.22 Mediocre,"ISSEN, XEBEC, Inc.",Manga,Ganbatte,~24min,TV-Series,13,2017
Shirohiyo: Reincarnated as a Neglected Noble - Raising My Baby Brother With Memories From My Past Life,3.21 Mediocre,"Studio Comet Co., Ltd.",Light Novel,Slice of Life Comedy,~24min,TV-Series,12,2025
Karakuri Circus,3.19 Mediocre,"studio VOLN Co., Ltd.",Manga,Action Drama,~24min,TV-Series,36,2018
Otoboku: Maidens Are Falling for Me!,3.17 Mediocre,feel.,Visual Novel,Romantic Comedy,~24min,TV-Series,12,2006
Kiss × Sis (TV),3.17 Mediocre,feel.,Manga,Romantic Comedy,~25min,TV-Series,12,2010
Tamayura: Hitotose,3.19 Mediocre,"Yumeta Co., Ltd.",Manga,Slice of Life Drama,~25min,TV-Series,12,2011
Daphne in the Brilliant Blue,3.20 Mediocre,"J.C.STAFF Co., Ltd.",Original Work,Action,~24min,TV-Series,24,2004
Devils and Realist,3.18 Mediocre,Doga Kobo,Manga,Action Comedy,~24min,TV-Series,12,2013
Dragonar Academy,3.17 Mediocre,"C-Station Co., Ltd",Light Novel,Adventure,~24min,TV-Series,12,2014
"I’m a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic",3.18 Mediocre,"Marvy Jack, Studio DEEN Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2025
Ultimate Otaku Teacher,3.17 Mediocre,A-1 Pictures Inc.,Manga,Comedy,~24min,TV-Series,24,2015
Mokke,3.19 Mediocre,MADHOUSE Inc.,Manga,Ghost Stories,~24min,TV-Series,24,2007
Celestial Method,3.18 Mediocre,3Hz Inc.,Original Work,Drama,~24min,TV-Series,13,2014
"Liar, Liar",3.18 Mediocre,GEEK TOYS Inc.,Light Novel,Action Comedy,~24min,TV-Series,12,2023
Schwarzes Marken,3.17 Mediocre,"LIDEN FILMS Inc., aNCHOR Inc.",Light Novel,Action Drama,~24min,TV-Series,12,2016
Gakuen Utopia Manabi Straight!,3.17 Mediocre,"ufotable, Inc.",Manga,Comedy,~24min,TV-Series,12,2007
Seven Senses of the Re'Union,3.17 Mediocre,Lerche,Light Novel,Action Drama,~24min,TV-Series,12,2018
"With a Dog and a Cat, Every Day is Fun",3.24 Excellent,Team Till Dawn,Manga,Comedy,~1min,TV-Series,24,2020
Delicious Party Pretty Cure,3.41 Excellent,"Toei Animation Co., Ltd.",Original Work,Action,~24min,TV-Series,45,2022
Rokudo’s Bad Girls,3.19 Mediocre,Satelight Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2023
I’ve Somehow Gotten Stronger When I Improved My Farm-Related Skills,3.17 Mediocre,studio A-CAT,Light Novel,Adventure,~24min,TV-Series,12,2022
s-CRY-ed,3.17 Mediocre,SUNRISE Inc.,Original Work,Action,~23min,TV-Series,26,2001
Ro-Kyu-Bu: Fast Break,3.17 Mediocre,"Studio Blanc. Co., Ltd., project No.9",Light Novel,Ganbatte,~24min,TV-Series,12,2011
Seven Knights Revolution: Hero Successor,3.18 Mediocre,"LIDEN FILMS Inc., domerica Inc.",Video Game,Action Drama,~24min,TV-Series,12,2021
Kaginado,3.21 Mediocre,Liden Films Kyoto Studio,Visual Novel,Comedy,~4min,TV-Series,12,2021
Princess Sarah,3.17 Mediocre,"Nippon Animation Co., Ltd.",Novel,Adventure,~26min,TV-Series,46,1985
Let’s Go Karaoke!,3.55 Excellent,Doga Kobo,Manga,Slice of Life Drama,~?min,TV-Series,5,2025
Silent Möbius,3.17 Mediocre,"Radix Ace Entertainment Co., Ltd.",Manga,Action Drama,~23min,TV-Series,26,1998
Un-Go,3.17 Mediocre,BONES Inc.,Novel,Crime Fiction,~24min,TV-Series,11,2011
Venus to Mamoru!,3.17 Mediocre,ZEXCS Inc.,Light Novel,Romantic Comedy,~24min,TV-Series,24,2006
Meiji Gekken: 1874,3.23 Excellent,"Tsumugi Akita Anime Lab Co., Ltd.",Original Work,?,~25min,TV-Series,10,2024
Polyphonica Crimson S,3.17 Mediocre,diomedéa inc.,Light Novel,Adventure,~24min,TV-Series,12,2009
Mahoraba,3.18 Mediocre,"J.C.STAFF Co., Ltd.",Manga,Romance,~24min,TV-Series,26,2005
Solo Camping for Two,3.24 Excellent,"SynergySP Co. ,Ltd.",Manga,Slice of Life Comedy,~24min,TV-Series,24,2025
Pokemon: Black & White - Adventures in Unova and Beyond,3.19 Mediocre,"OLM, Inc.",Video Game,Adventure,~25min,TV-Series,20,2013
Mythical Detective Loki Ragnarok,3.17 Mediocre,"Studio DEEN Co., Ltd.",Manga,Crime Fiction,~24min,TV-Series,26,2003
Nabari,3.16 Mediocre,"J.C.STAFF Co., Ltd.",Manga,Adventure,~24min,TV-Series,26,2008
Saki: Episode of Side A,3.18 Mediocre,Studio Gokumi,Manga,Ganbatte,~24min,TV-Series,12,2012
Muhyo & Roji’s Bureau of Supernatural Investigation,3.19 Mediocre,"Studio DEEN Co., Ltd.",Manga,Ghost Stories,~24min,TV-Series,12,2018
Bartender,3.16 Mediocre,"Palm Co., Ltd.",Manga,Slice of Life Drama,~24min,TV-Series,11,2006
Yu-Gi-Oh! Vrains,3.19 Mediocre,"GALLOP Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,120,2017
Tweeny Witches,3.17 Mediocre,"STUDIO 4°C Co., Ltd.",Original Work,Adventure,~9min,TV-Series,40,2004
Pon no Michi,3.22 Mediocre,"OLM, Inc.",Original Work,?,~24min,TV-Series,12,2024
The Gene of AI,3.18 Mediocre,MADHOUSE Inc.,Manga,Drama,~24min,TV-Series,12,2023
Aikatsu Stars!,3.26 Excellent,BANDAI NAMCO Pictures Inc.,Original Work,Ganbatte,~24min,TV-Series,100,2016
The Strongest Tank’s Labyrinth Raids: A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero’s Party,3.12 Mediocre,POLON Inc.,Light Novel,Action Comedy,~23min,TV-Series,12,2024
Mars Red,3.14 Mediocre,"SIGNAL.MD, Inc.",Theater,Action,~24min,TV-Series,13,2021
Lamune,3.12 Mediocre,"Picture Magic Inc., Trinet Entertainment, Inc.",Visual Novel,Romance,~23min,TV-Series,12,2005
Himitsu: The Revelation,3.17 Mediocre,MADHOUSE Inc.,Manga,Drama,~25min,TV-Series,26,2008
Dagashi Kashi,3.12 Mediocre,feel.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2016
Bucchigiri?!,3.13 Mediocre,"MAPPA Co., Ltd.",Original Work,Action Comedy,~24min,TV-Series,12,2024
Fist of the North Star Part 2,3.16 Mediocre,"Toei Animation Co., Ltd.",Manga,Action,~25min,TV-Series,43,1987
"Ceres, Celestial Legend",3.12 Mediocre,"Pierrot Co., Ltd.",Manga,Drama,~21min,TV-Series,24,2000
Kemonozume,3.12 Mediocre,MADHOUSE Inc.,Original Work,Action Drama,~24min,TV-Series,13,2006
Kenko Zenrakei Suieibu Umisho,3.11 Mediocre,Artland Inc.,Manga,Comedy,~25min,TV-Series,13,2007
Concrete Revolutio Season 2,3.14 Mediocre,BONES Inc.,Original Work,Action,~24min,TV-Series,11,2016
Saber Marionette J to X,3.20 Mediocre,HAL FILM MAKER Inc.,Original Work,Action Comedy,~24min,TV-Series,26,1998
B-Project,3.15 Mediocre,A-1 Pictures Inc.,Other,Ganbatte,~24min,TV-Series,12,2016
Dirty Pair,3.16 Mediocre,SUNRISE Inc.,Light Novel,Action,~25min,TV-Series,24,1985
Ayakashi Triangle,3.12 Mediocre,CONNECT,Manga,Action,~24min,TV-Series,12,2023
Magimoji Rurumo,3.12 Mediocre,"J.C.STAFF Co., Ltd.",Manga,Comedy,~24min,TV-Series,12,2014
Hatenkou Yugi,3.12 Mediocre,"Studio DEEN Co., Ltd.",Manga,Adventure,~24min,TV-Series,10,2008
Devil Survivor 2 The Animation,3.11 Mediocre,Bridge Inc.,Video Game,Action,~24min,TV-Series,13,2013
Magical Shopping Arcade: Abenobashi,3.11 Mediocre,MADHOUSE Inc.,Original Work,Comedy,~24min,TV-Series,13,2002
Shinobi no Ittoki,3.11 Mediocre,TROYCA Inc.,Original Work,Action,~24min,TV-Series,12,2022
RIN-NE,3.12 Mediocre,Brain’s Base,Manga,Comedy,~25min,TV-Series,25,2015
Sukisho!,3.12 Mediocre,ZEXCS Inc.,Visual Novel,Drama,~24min,TV-Series,12,2005
The Galaxy Railways,3.19 Mediocre,Studio Kyuuma,Manga,Adventure,~24min,TV-Series,26,2003
Phantom in the Twilight,3.12 Mediocre,LIDEN FILMS Inc.,Original Work,Action Drama,~24min,TV-Series,12,2018
Beheneko: The Elf-Girl’s Cat Is Secretly an S-Ranked Monster!,3.12 Mediocre,"Saber Works Co., Ltd., ZERO-G, Inc.",Light Novel,Action Comedy,~24min,TV-Series,12,2024
Isekai Cheat Magician,3.11 Mediocre,"Kachigarasu Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2019
Ikki Tousen: Xtreme Xecutor,3.11 Mediocre,"TNK Co., Ltd.",Manga,Action,~24min,TV-Series,12,2010
The Sacred Blacksmith,3.10 Mediocre,manglobe Inc.,Light Novel,Adventure,~24min,TV-Series,12,2009
Gourmet Girl Graffiti,3.12 Mediocre,SHAFT Inc.,Manga,Comedy,~24min,TV-Series,12,2015
Ojisan and Marshmallow,3.12 Mediocre,Creators in Pack Inc.,Manga,Comedy,~4min,TV-Series,12,2016
Meine Liebe Wieder,3.17 Mediocre,Bee Train Productions Inc.,Visual Novel,Drama,~24min,TV-Series,13,2006
Hitohira,3.11 Mediocre,XEBEC M2,Manga,Slice of Life Drama,~24min,TV-Series,12,2007
Samurai Bride,3.10 Mediocre,Arms,Light Novel,Action Comedy,~24min,TV-Series,12,2013
Kamikaze Kaitou Jeanne,3.10 Mediocre,"Toei Animation Co., Ltd.",Manga,Action,~24min,TV-Series,44,1999
Lostorage Incited Wixoss,3.12 Mediocre,"J.C.STAFF Co., Ltd.",Original Work,Drama,~24min,TV-Series,12,2016
Sky Wizards Academy,3.10 Mediocre,diomedéa inc.,Light Novel,Action Drama,~24min,TV-Series,12,2015
The Adventures of Captain Future,3.11 Mediocre,"Toei Animation Co., Ltd.",Other,Adventure,~25min,TV-Series,52,1978
Skate-Leading Stars,3.15 Mediocre,"J.C.STAFF Co., Ltd.",Original Work,Ganbatte,~24min,TV-Series,12,2021
Immoral Guild,3.10 Mediocre,"TNK Co., Ltd.",Manga,Action Comedy,~24min,TV-Series,12,2022
Kamisama Kazoku,3.10 Mediocre,"Toei Animation Co., Ltd.",Light Novel,Romantic Comedy,~24min,TV-Series,13,2006
Our Home’s Fox Deity,3.10 Mediocre,ZEXCS Inc.,Light Novel,Comedy,~24min,TV-Series,24,2008
Girly Air Force,3.12 Mediocre,Satelight Inc.,Light Novel,Action,~24min,TV-Series,12,2019
Scooped Up by an S-Rank Adventurer!,3.14 Mediocre,Felix Film,Light Novel,Adventure,~24min,TV-Series,12,2025
Cinderella Nine,3.12 Mediocre,"TMS Entertainment Co., Ltd.",Video Game,Ganbatte,~24min,TV-Series,12,2019
Übel Blatt,3.11 Mediocre,"Satelight Inc., Staple Entertainment",Manga,Action Drama,~24min,TV-Series,12,2025
Descendants of Darkness,3.11 Mediocre,"J.C.STAFF Co., Ltd.",Manga,Crime Fiction,~25min,TV-Series,13,2000
The Great Adventures of Robin Hood,3.10 Mediocre,"Tatsunoko Production Co., Ltd.",Fairy Tale,Adventure,~24min,TV-Series,52,1990
The File of Young Kindaichi,3.19 Mediocre,"Toei Animation Co., Ltd.",Manga,Crime Fiction,~25min,TV-Series,148,1997
Linebarrels of Iron,3.10 Mediocre,Gonzo K.K.,Manga,Action,~25min,TV-Series,24,2008
Night Head 2041,3.15 Mediocre,Shirogumi Inc.,Live-Action,Action Drama,~23min,TV-Series,12,2021
"Wake Up, Girls! New Chapter",3.16 Mediocre,"Millepensee Co., Ltd.",Original Work,Ganbatte,~24min,TV-Series,12,2017
Princess Resurrection,3.09 Mediocre,MADHOUSE Inc.,Manga,Action Comedy,~24min,TV-Series,25,2007
Ensemble Stars!,3.22 Mediocre,David Production Inc.,Video Game,Ganbatte,~24min,TV-Series,24,2019
Gasaraki,3.14 Mediocre,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,1998
Polar Bear Cafe,3.14 Mediocre,"Pierrot Co., Ltd.",Manga,Nonsense-Comedy,~25min,TV-Series,50,2012
The World Ends with You: The Animation,3.12 Mediocre,"Shin-ei Animation Co., Ltd., domerica Inc.",Video Game,Action Drama,~24min,TV-Series,12,2021
Kemono Michi: Rise Up,3.10 Mediocre,ENGI Co.Ltd.,Manga,Action Comedy,~24min,TV-Series,12,2019
Aikatsu on Parade!,3.80 Excellent,BANDAI NAMCO Pictures Inc.,,Slice of Life,~24min,TV-Series,25,2019
Ramen Fighter Miki,3.11 Mediocre,"Telecom Animation Film Co., Ltd.",Manga,Comedy,~25min,TV-Series,12,2006
Junji Ito Collection,3.10 Mediocre,"Studio DEEN Co., Ltd.",Manga,Horror,~24min,TV-Series,12,2018
Tico and Friends,3.11 Mediocre,"Nippon Animation Co., Ltd.",Original Work,Adventure,~25min,TV-Series,39,1994
Cat Planet Cuties,3.09 Mediocre,"Anime International Co., Inc.",Light Novel,Romantic Comedy,~24min,TV-Series,12,2010
Cardfight!! Vanguard: Link Joker,3.19 Mediocre,"TMS Entertainment Co., Ltd.",Other,Ganbatte,~25min,TV-Series,59,2013
"Farewell, My Dear Cramer",3.12 Mediocre,LIDEN FILMS Inc.,Manga,Ganbatte,~24min,TV-Series,13,2021
Pandora in the Crimson Shell: Ghost Urn,3.11 Mediocre,"AXsiZ Co., Ltd., Studio Gokumi",Manga,Action Comedy,~25min,TV-Series,12,2016
Canvas 2: Niji Iro no Sketch,3.10 Mediocre,ZEXCS Inc.,Visual Novel,Romance,~24min,TV-Series,24,2005
Nanatsuiro Drops,3.10 Mediocre,diomedéa inc.,Visual Novel,Romance,~25min,TV-Series,12,2007
Hayate the Combat Butler: Cuties,3.11 Mediocre,manglobe Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2013
Wish upon the Pleiades,3.10 Mediocre,"Gainax Co., Ltd.",Original Work,Romantic Comedy,~24min,TV-Series,12,2015
Atom: The Beginning,3.12 Mediocre,"OLM, Inc., Production I.G., Inc., SIGNAL.MD, Inc.",Manga,Action Comedy,~25min,TV-Series,12,2017
"So, I Can’t Play H!",3.09 Mediocre,feel.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2012
Samurai Girls,3.09 Mediocre,Arms,Light Novel,Action Comedy,~24min,TV-Series,12,2010
Phantasy Star Online 2: The Animation,3.09 Mediocre,"Telecom Animation Film Co., Ltd.",Video Game,Action,~24min,TV-Series,12,2016
The Knight in the Area,3.09 Mediocre,"Shin-ei Animation Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,37,2012
Magical Girl Ore,3.11 Mediocre,"St.Signpost.CO.,Ltd.",Manga,Comedy,~24min,TV-Series,12,2018
Pretty Rhythm: Aurora Dream,3.12 Mediocre,"Tatsunoko Production Co., Ltd.",Video Game,Ganbatte,~20min,TV-Series,51,2011
Super HxEros,3.09 Mediocre,project No.9,Manga,Romantic Comedy,~24min,TV-Series,12,2020
Fate/Extra: Last Encore - Oblitus Copernican Theory,3.09 Mediocre,SHAFT Inc.,Video Game,Action Drama,~24min,TV-Series,10,2018
Yes! Precure 5 Go Go!,3.16 Mediocre,"Toei Animation Co., Ltd.",Original Work,Action,~25min,TV-Series,48,2008
Blue Orchestra,3.16 Mediocre,"Nippon Animation Co., Ltd.",Manga,Drama,~25min,TV-Series,24,2023
Star Blazers: The Comet Empire,3.20 Mediocre,Tokyo Video,Original Work,Adventure,~25min,TV-Series,26,1978
Sorcerous Stabber Orphen: Chaos in Urbanrama,3.15 Mediocre,"Studio DEEN Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2023
C³,3.08 Mediocre,SILVER LINK.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2011
Alps no Shoujo Heidi? Chara Onji,3.67 Excellent,,,Comedy,~?min,TV-Series,115,2016
Teppen!!!!!!!!!!!!!!! Laughing ’til You Cry,3.14 Mediocre,Drive Inc.,Manga,Comedy,~24min,TV-Series,12,2022
Majestic Prince,3.10 Mediocre,Doga Kobo,Manga,Action,~24min,TV-Series,24,2013
Teekyu 9,3.17 Mediocre,"Millepensee Co., Ltd.",Manga,Nonsense-Comedy,~2min,TV-Series,12,2017
Yurei Deco,3.19 Mediocre,Science SARU Inc.,,Supernatural Drama,~24min,TV-Series,12,2022
In Search of the Lost Future: À la recherche du futur perdu,3.09 Mediocre,feel.,Visual Novel,Romantic Drama,~24min,TV-Series,12,2014
All Out!,3.10 Mediocre,"MADHOUSE Inc., TMS Entertainment Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,25,2016
Witch Hunter Robin,3.08 Mediocre,SUNRISE Inc.,Original Work,Crime Fiction,~24min,TV-Series,26,2002
Cyborg 009: The Cyborg Soldier,3.25 Excellent,Vistec Entertainment Ltd.,Manga,Adventure,~24min,TV-Series,50,2001
Seiren,3.08 Mediocre,"AXsiZ Co., Ltd., Studio Gokumi",Original Work,Romantic Comedy,~24min,TV-Series,12,2017
Brigadoon,3.14 Mediocre,SUNRISE Inc.,Original Work,Action,~25min,TV-Series,26,2000
BPS: Battle Programmer Shirase,3.08 Mediocre,"Anime International Co., Inc.",Original Work,Comedy,~12min,TV-Series,15,2003
Tokimeki Memorial: Only Love,3.08 Mediocre,"Anime International Co., Inc.",Video Game,Romantic Comedy,~24min,TV-Series,25,2006
Captain Earth,3.09 Mediocre,BONES Inc.,Original Work,Action Drama,~23min,TV-Series,25,2014
Space Adventure Cobra,3.20 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Adventure,~24min,TV-Series,31,1982
The iDOLM@STER Side M,3.17 Mediocre,A-1 Pictures Inc.,Video Game,Ganbatte,~24min,TV-Series,13,2017
Occultic;Nine,3.08 Mediocre,A-1 Pictures Inc.,Light Novel,Thriller,~24min,TV-Series,12,2016
A Terrified Teacher at Ghoul School!,3.07 Mediocre,Satelight Inc.,Manga,Comedy,~24min,TV-Series,24,2024
Cestvs: The Roman Fighter,3.12 Mediocre,BANDAI NAMCO Pictures Inc.,Manga,Drama,~23min,TV-Series,11,2021
Samurai Warriors,3.05 Mediocre,"Yumeta Co., Ltd.",Video Game,Action,~25min,TV-Series,12,2015
Shadow Star Narutaru,3.04 Mediocre,Planet Entertainment Inc.,Manga,Drama,~23min,TV-Series,13,2003
The Devil Lady,3.06 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Action Drama,~24min,TV-Series,26,1998
UniteUp!,3.17 Mediocre,CloverWorks Inc.,Original Work,?,~24min,TV-Series,12,2023
Kiddy Grade,3.04 Mediocre,Gonzo K.K.,Original Work,Action,~23min,TV-Series,24,2002
Concrete Revolutio,3.04 Mediocre,BONES Inc.,Original Work,Action,~24min,TV-Series,13,2015
Ninja Girl & Samurai Master,3.07 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Action Comedy,~4min,TV-Series,26,2016
Monochrome Factor,3.04 Mediocre,"ACGT Co., Ltd.",Manga,?,~25min,TV-Series,24,2008
Classroom for Heroes,3.04 Mediocre,Actas Inc.,Light Novel,Action Comedy,~24min,TV-Series,12,2023
