Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Chihayafuru Season 3,4.08 Excellent,MADHOUSE Inc.,Manga,Ganbatte,~23min,TV-Series,24,2019
To Your Eternity,4.05 Excellent,Brain’s Base,Manga,Drama,~25min,TV-Series,20,2021
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,4.05 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,11,2022
The Seven Deadly Sins: Revival of The Commandments,4.05 Excellent,A-1 Pictures Inc.,Manga,Adventure,~24min,TV-Series,24,2018
Natsume’s Book of Friends: Season 3,4.05 Excellent,Brain’s Base,Manga,Slice of Life Drama,~24min,TV-Series,13,2011
Kingdom Season 2,4.06 Excellent,"Pierrot Co., Ltd.",Manga,Action,~25min,TV-Series,39,2013
Clannad,4.04 Excellent,"Kyoto Animation Co., Ltd.",Visual Novel,Sentimental Drama,~24min,TV-Series,23,2007
When They Cry,4.04 Excellent,"Studio DEEN Co., Ltd.",Visual Novel,Horror,~24min,TV-Series,26,2006
Golden Kamuy 3,4.06 Excellent,Geno Studio Inc.,Manga,Adventure,~24min,TV-Series,12,2020
The Fable,4.08 Excellent,"Tezuka Productions Co., Ltd.",Manga,Action,~23min,TV-Series,25,2024
When They Cry: Kai,4.04 Excellent,"Studio DEEN Co., Ltd.",Visual Novel,Drama,~24min,TV-Series,24,2007
Fruits Basket: Season 1,4.04 Excellent,"TMS Entertainment Co., Ltd.",Manga,Drama,~24min,TV-Series,25,2019
Fairy Tail,4.03 Excellent,"A-1 Pictures Inc., Satelight Inc.",Manga,Fighting-Shounen,~24min,TV-Series,175,2009
Sword Art Online: Alicization - War of Underworld,4.03 Excellent,A-1 Pictures Inc.,Light Novel,Action Drama,~24min,TV-Series,12,2019
Moriarty the Patriot Cour 2,4.05 Excellent,"Production I.G., Inc.",Manga,Drama,~24min,TV-Series,13,2021
Eureka Seven,4.03 Excellent,BONES Inc.,Original Work,Action Drama,~24min,TV-Series,50,2005
Natsume’s Book of Friends: Season 2,4.04 Excellent,Brain’s Base,Manga,Ghost Stories,~24min,TV-Series,13,2009
Given,4.04 Excellent,Lerche,Manga,Romantic Drama,~23min,TV-Series,11,2019
Neon Genesis Evangelion,4.02 Excellent,"Gainax Co., Ltd., Tatsunoko Production Co., Ltd.",Original Work,Action Drama,~24min,TV-Series,26,1995
Owarimonogatari,4.04 Excellent,SHAFT Inc.,Light Novel,Ghost Stories,~25min,TV-Series,12,2015
Overlord,4.02 Excellent,MADHOUSE Inc.,Light Novel,Action,~24min,TV-Series,13,2015
Rainbow,4.02 Excellent,MADHOUSE Inc.,Manga,Action Drama,~23min,TV-Series,26,2010
The Pet Girl of Sakurasou,4.02 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Romantic Comedy,~24min,TV-Series,24,2012
Spy × Family: Season 2,4.03 Excellent,"CloverWorks Inc., WIT STUDIO, Inc.",Manga,Action Comedy,~24min,TV-Series,12,2023
Major 6th Season,4.04 Excellent,"SynergySP Co. ,Ltd.",Manga,Ganbatte,~25min,TV-Series,25,2010
Angel Beats!,4.02 Excellent,"P.A. Works Co., Ltd.",Original Work,Sentimental Drama,~25min,TV-Series,13,2010
Kamisama Kiss 2,4.03 Excellent,"TMS Entertainment Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2015
Terror in Resonance,4.02 Excellent,"MAPPA Co., Ltd.",Original Work,Thriller,~23min,TV-Series,11,2014
Sasaki and Miyano,4.05 Excellent,"Studio DEEN Co., Ltd.",Manga,Comedy,~24min,TV-Series,12,2022
My Happy Marriage,4.03 Excellent,"Kinema Citrus Co., Ltd.",Light Novel,Romantic Drama,~24min,TV-Series,12,2023
Real Girl (Cour 2),4.04 Excellent,Hoods Entertainment Inc.,Manga,Romantic Drama,~23min,TV-Series,12,2019
Bakuman.,4.02 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,25,2010
Insomniacs after School,4.04 Excellent,LIDEN FILMS Inc.,Manga,Slice of Life Drama,~24min,TV-Series,13,2023
Vivy: Fluorite Eye’s Song,4.03 Excellent,"WIT STUDIO, Inc.",Original Work,Action Drama,~23min,TV-Series,13,2021
Tokyo Revengers: Tenjiku Arc,4.04 Excellent,LIDEN FILMS Inc.,Manga,Action Drama,~24min,TV-Series,13,2023
Mobile Suit Gundam: Iron-Blooded Orphans 2,4.04 Excellent,SUNRISE Inc.,Original Work,Action Drama,~25min,TV-Series,25,2016
One Outs,4.02 Excellent,MADHOUSE Inc.,Manga,Thriller,~23min,TV-Series,25,2008
Tsukigakirei,4.02 Excellent,feel.,Original Work,Romance,~24min,TV-Series,12,2017
Moriarty the Patriot,4.03 Excellent,"Production I.G., Inc.",Manga,Drama,~24min,TV-Series,11,2020
Aoashi,4.04 Excellent,"Production I.G., Inc.",Manga,Ganbatte,~25min,TV-Series,24,2022
Snow White with the Red Hair Season 2,4.02 Excellent,BONES Inc.,Manga,Romance,~24min,TV-Series,12,2016
Junjo Romantica 2,4.02 Excellent,"Studio DEEN Co., Ltd.",Manga,Romance,~24min,TV-Series,12,2008
Blue Box,4.03 Excellent,"Telecom Animation Film Co., Ltd.",Manga,Romance,~24min,TV-Series,25,2024
Showa Genroku Rakugo Shinju,4.03 Excellent,"Studio DEEN Co., Ltd.",Manga,Drama,~26min,TV-Series,13,2016
Golden Kamuy 2,4.02 Excellent,Geno Studio Inc.,Manga,Adventure,~24min,TV-Series,12,2018
A Certain Scientific Railgun T,4.02 Excellent,"J.C.STAFF Co., Ltd.",Manga,Action,~24min,TV-Series,25,2020
Log Horizon,4.00 Excellent,Satelight Inc.,Light Novel,Adventure,~25min,TV-Series,25,2013
Darling in the Franxx,4.00 Excellent,"CloverWorks Inc., TRIGGER Inc.",Original Work,Action Drama,~24min,TV-Series,24,2018
Cowboy Bebop,4.00 Excellent,SUNRISE Inc.,Original Work,Action,~25min,TV-Series,26,1998
Black Butler: Book of Circus,4.01 Excellent,A-1 Pictures Inc.,Manga,Action Drama,~24min,TV-Series,10,2014
Chihayafuru Season 2,4.01 Excellent,MADHOUSE Inc.,Manga,Ganbatte,~23min,TV-Series,25,2013
The Ancient Magus’ Bride,4.00 Excellent,"WIT STUDIO, Inc.",Manga,Supernatural Drama,~24min,TV-Series,24,2017
Bakemonogatari,4.00 Excellent,SHAFT Inc.,Light Novel,Ghost Stories,~24min,TV-Series,15,2009
To Your Eternity: Season 2,4.02 Excellent,Drive Inc.,Manga,Drama,~25min,TV-Series,20,2022
Sword Art Online: Alicization,4.00 Excellent,A-1 Pictures Inc.,Light Novel,Action Drama,~25min,TV-Series,24,2018
Baccano!,4.00 Excellent,Brain’s Base,Light Novel,Action,~25min,TV-Series,13,2007
Tsukimichi: Moonlit Fantasy,4.00 Excellent,"C2C Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2021
Tonikawa: Over the Moon for You,4.00 Excellent,Seven Arcs Ltd.,Manga,Romantic Comedy,~24min,TV-Series,12,2020
Gintama,4.00 Excellent,SUNRISE Inc.,Manga,Nonsense-Comedy,~25min,TV-Series,201,2006
One Punch Man Season 2,4.00 Excellent,"J.C.STAFF Co., Ltd.",Manga,Action Comedy,~24min,TV-Series,12,2019
Mob Psycho 100,4.00 Excellent,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,12,2016
Sekai Ichi Hatsukoi: World’s Greatest First Love,4.00 Excellent,"Studio DEEN Co., Ltd.",Manga,Romance,~24min,TV-Series,12,2011
Classroom of the Elite,4.00 Excellent,Lerche,Light Novel,Drama,~24min,TV-Series,12,2017
Berserk,4.00 Excellent,"OLM, Inc.",Manga,Action Drama,~24min,TV-Series,25,1997
The Ancient Magus’ Bride: Season 2,4.01 Excellent,"Studio KAFKA Co., Ltd.",Manga,Supernatural Drama,~24min,TV-Series,12,2023
Is It Wrong to Try to Pick Up Girls in a Dungeon? V,4.02 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,15,2024
Nodame Cantabile,4.00 Excellent,"J.C.STAFF Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,23,2007
Assassination Classroom,3.99 Excellent,Lerche,Manga,Action Comedy,~23min,TV-Series,22,2015
KonoSuba: God’s Blessing on This Wonderful World! 3,4.00 Excellent,Drive Inc.,Light Novel,Adventure,~24min,TV-Series,11,2024
Sound! Euphonium 2,4.00 Excellent,"Kyoto Animation Co., Ltd.",Novel,Slice of Life Drama,~26min,TV-Series,13,2016
Classroom of the Elite: Season 3,3.99 Excellent,Lerche,Light Novel,Drama,~24min,TV-Series,13,2024
Samurai Champloo,3.99 Excellent,manglobe Inc.,Original Work,Adventure,~23min,TV-Series,26,2004
Is It Wrong to Try to Pick Up Girls in a Dungeon? III,3.99 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action Drama,~24min,TV-Series,12,2020
My Teen Romantic Comedy SNAFU: TOO!,3.99 Excellent,feel.,Light Novel,Slice of Life Drama,~24min,TV-Series,13,2015
Sword Art Online: Alicization - War of Underworld Part 2,3.99 Excellent,A-1 Pictures Inc.,Light Novel,Action Drama,~24min,TV-Series,11,2020
Major 2nd Season,3.99 Excellent,"Studio Hibari Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,26,2005
Fire Force Season 2,3.99 Excellent,David Production Inc.,Manga,Action,~24min,TV-Series,24,2020
KonoSuba: God’s Blessing on This Wonderful World! 2,3.98 Excellent,"Studio DEEN Co., Ltd.",Light Novel,Adventure Comedy,~24min,TV-Series,10,2017
Bloom into You,3.99 Excellent,TROYCA Inc.,Manga,Romantic Drama,~24min,TV-Series,13,2018
Carole & Tuesday,3.99 Excellent,BONES Inc.,Original Work,Drama,~23min,TV-Series,24,2019
Mobile Suit Gundam 00,3.98 Excellent,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,2007
The Future Diary,3.98 Excellent,asread,Manga,Thriller,~24min,TV-Series,26,2011
The Case Study of Vanitas (Season 2),3.99 Excellent,BONES Inc.,Manga,Adventure,~24min,TV-Series,12,2022
Champion Joe 2,4.19 Excellent,"TMS Entertainment Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,47,1980
